Term	Freq	Standardized	CUI	SemanticType
prohibited medications	1	Medications	C2598133	[clna]
prolonged qt interval	1	Prolonged QT Interval	C0151878	[fndg]
propafenon	1	unmapped	unmapped	unmapped
propofol	1	PROPOFOL	C0033487	"[orch, phsu]"
proposed level i criteria	1	Criteria	C0243161	[inpr]
propranolol	1	PROPRANOLOL	C0033497	"[orch, phsu]"
prostate-specific antigen	1	PROSTATE-SPECIFIC ANTIGEN	C1366489	[gngm]
prosthetic devices	1	prosthetic devices	C0175649	[medd]
protein s/protein c deficiency	1	Protein C Deficiency	C0398625	[dsyn]
protein therapeutic targeting abeta	1	ABETA	C1705543	[gngm]
prothrombin	1	Prothrombin	C0033706	"[aapp, bacs, phsu]"
protracted loss of consciousness	1	consciousness	C0009791	[fndg]
prozac or ginkgo biloba	1	Ginkgo biloba	C0772125	"[orch, phsu]"
psa test result	1	Test Result	C0587081	[fndg]
pseudobulbar affect	1	Affect	C0001721	[menp]
psychiatric	1	Psychiatric	C0205487	[ftcn]
psychiatric diagnoses	1	"Diagnosis, Psychiatric"	C0376338	[mobd]
psychiatric diagnosis	1	"Diagnosis, Psychiatric"	C0376338	[mobd]
psychiatric disturbance	1	Disturbance	C2699787	[qlco]
psychiatric features	1	Feature	C2348519	[qlco]
psychiatric history	1	History	C2004062	[fndg]
psychiatric illnesses	1	Psychiatric illness	C0004936	[mobd]
psychiatric or neurological illness	1	Illness	C0221423	[sosy]
psychiatric pathology	1	pathology	C0205469	[ftcn]
psychiatric serotonergic antidepressant medication	1	Antidepressant	C0003289	[phsu]
"psychiatric, neurological or neurodegenerative conditions"	1	Neurodegenerative condition	C1522560	[ftcn]
psychiatric/neurologic disorders	1	Neurologic Disorders	C0027765	[dsyn]
psychoactive medication-free	1	Free	C1996904	[qlco]
psychoactive substance use disorder	1	Psychoactive substance use disorder	C0033882	[mobd]
psychological harm	1	Psychological	C0205486	[ftcn]
psychological or physical illness	1	Physical Illness	C0683323	[dsyn]
psychometric test results	1	Result	C2825142	[fndg]
psychometrictesting	1	unmapped	unmapped	unmapped
psychosis factor	1	Factor	C1521761	[ftcn]
psychotherapy	1	Psychotherapy	C1555913	[prog]
psychotherapy treatment	1	Treatment	C0087111	[topp]
psychotic disorder nos	1	{NOS}	C1518425	[qlco]
psychotrop treatment	1	Treatment	C0087111	[topp]
psychotropic	1	Psychotropic	C0033978	[phsu]
psychotropic agents	1	psychotropic agents	C0033978	[phsu]
psychotropic and/or cognitively active medication	1	Medication	C0013227	[phsu]
psychotropic or sleep medications	1	Medications	C2598133	[clna]
pt	1	PT	C0699718	[bmod]
pt and ptt	1	PTT	C0030605	[lbpr]
pt/aptt	1	APTT	C0030605	[lbpr]
pt/ptt	1	PTT	C0030605	[lbpr]
ptt	1	PTT	C0030605	[lbpr]
pulmonary dysfunction	1	Pulmonary Dysfunction	C1709770	[fndg]
pulmonary function test	1	Pulmonary Function Test	C0024119	[diap]
pulmonary or cerebral embolism	1	CEREBRAL EMBOLISM	C0007780	[dsyn]
"pulmonary, gastrointestinal, endocrine, metabolic, renal or other systemic disease"	1	Systemic Disease	C0442893	[dsyn]
"pulmonary, gastrointestinal, renal, hepatic, endocrine or cardiovascular system disease"	1	Cardiovascular system disease	C0007222	[dsyn]
"pulmonary, hepatic, gastrointestinal, metabolic, endocrine or other life threatening diseases"	1	Diseases	C0012634	[dsyn]
pulse oximeters	1	pulse oximeters	C0182109	[medd]
purposeless wandering	1	Wandering	C0233569	[bhvr]
q waves	1	q waves	C1305738	[clna]
qtc b or qtc f	1	F-	C0016327	"[inch, phsu]"
qtc f	1	F-	C0016327	"[inch, phsu]"
qtc interval	1	QTC interval	C0489625	[clna]
qtc interval prolongation	1	Interval	C1552713	[inpr]
qtc-fridericia	1	Fridericia	C1032715	[euka]
qtcb	1	unmapped	unmapped	unmapped
qtcb interval	1	Interval	C1552713	[inpr]
qtcf	1	unmapped	unmapped	unmapped
quetiapine	1	QUETIAPINE	C0123091	"[orch, phsu]"
quinine	1	quinine	C1015216	[plnt]
radiation	1	Radiation	C1524021	[resa]
radioactive substance	1	SUBSTANCE	C0439861	[sbst]
radiological evidence	1	Evidence	C3887511	[idcn]
radiopharmaceutical	1	Radiopharmaceutical	C0182638	"[irda, phsu]"
radiopharmaceutical for imaging or therapy	1	Therapy	C0087111	[topp]
radiopharmaceuticals	1	Radiopharmaceuticals	C0182638	"[irda, phsu]"
radiotherapy	1	Radiotherapy	C0243005	[bmod]
raised intraocular pressure	1	Raised intraocular pressure	C0234708	[fndg]
rapid plasma reagin ( rpr )	1	RPR	C1705631	[gngm]
reactive airway disease	1	Reactive Airway Disease	C3714497	[dsyn]
reboxetine	1	REBOXETINE	C0168388	"[orch, phsu]"
recreational drugs	1	Recreational Drugs	C0242508	[hops]
reduced vision	1	Reduced vision	C0042798	[dsyn]
refractory anemia	1	Refractory anaemia	C0002893	[dsyn]
refractory myelosuppression	1	Myelosuppression	C0854467	[fndg]
renal dysfunction	1	Renal dysfunction	C1565489	[dsyn]
renal or hepatic impairment	1	Hepatic impairment	C0948807	[dsyn]
"renal, hepatic or metabolic disorder"	1	Metabolic Disorder	C0025517	[dsyn]
repolarisation abnormalities	1	Repolarization abnormalities	C3279217	[fndg]
residual angina	1	ANGINA	C0002962	[fndg]
respirator	1	Respirator	C0042497	[medd]
respiratory disorders	1	RESPIRATORY DISORDER (NOS)	C0035204	[dsyn]
respiratory failure	1	"Failure, Respiratory"	C1145670	[dsyn]
respiratory obstruction	1	Respiratory obstruction	C0001883	[dsyn]
resting office based bp measurements	1	measurements	C0242485	[ftcn]
resting supine blood pressure	1	Supine blood pressure	C0580944	[lbtr]
resting tremor	1	Resting Tremor	C0234379	[fndg]
restless leg syndrome	1	Restless Legs Syndrome	C0035258	[dsyn]
resuscitated sudden death	1	Sudden death	C1964022	[fndg]
resveratrol	1	RESVERATROL	C0073096	"[orch, phsu]"
retinal laser therapy	1	laser therapy	C0279027	[topp]
reversible causes of dementia	1	dementia	C0011265	[mobd]
rifampicin	1	Rifampicin	C0035608	"[antb, orch]"
right bundle branch block	1	"BUNDLE BRANCH BLOCK, RIGHT"	C0085615	[dsyn]
rigidit musculaire	1	unmapped	unmapped	unmapped
riluzole treatment	1	Treatment	C0087111	[topp]
rimantadine	1	Riamantadine	C0035629	"[orch, phsu]"
risk of suicide	1	#NAME?	C0038661	[fndg]
ritonavir	1	RITONAVIR	C0292818	"[orch, phsu]"
rivastigmine patch	1	rivastigmine Patch	C1961905	[clnd]
rontotemporal dementia	1	dementia	C0011265	[mobd]
rosen-modified hachinski ischemic score	1	SCORE	C0449820	[qnco]
rosen-modified hachinski score	1	SCORE	C0449820	[qnco]
rpr	1	RPR	C1705631	[gngm]
rtms	1	unmapped	unmapped	unmapped
same	1	SAME	C0445247	[qlco]
sbp/dbp	1	DBP	C0536221	"[aapp, enzy]"
scheltens score	1	SCORE	C0449820	[qnco]
schizo-affective disorder	1	schizo affective disorder	C0036337	[mobd]
schizophrenia-like illness	1	Illness	C0221423	[sosy]
sci	1	SCI	C3642273	[prog]
scleroderma	1	scleroderma	C0036421	[dsyn]
screen plasma pufa	1	PUFA	C0032615	"[bacs, orch]"
screening laboratory values	1	Values	C0042295	[qlco]
sd	1	SD	C2699239	[mamm]
secondary diabetes mellitus	1	Secondary diabetes mellitus	C0271640	[dsyn]
secondary disorders	1	Secondary Disorders	C0277555	[dsyn]
sedating antihistamines	1	Sedating Antihistamines	C1955826	"[orch, phsu]"
sedative	1	Sedative	C0036557	[phsu]
sedative /hypnotics	1	sedative-hypnotics	C0020592	[phsu]
sedative agents	1	Sedative agent	C0036557	[phsu]
sedative antihistamines	1	ANTIHISTAMINES	C0003360	"[orch, phsu]"
sedative medications	1	Medications	C2598133	[clna]
sedative-hypnotics	1	sedative-hypnotics	C0020592	[phsu]
seizure inducing medication	1	Inducing	C0205263	[ftcn]
semantic dementia	1	Semantic Dementia	C0338462	[mobd]
sensibility	1	sensibility	C0439823	[qlco]
sensory or motor deficit	1	Motor Deficit	C0521654	[fndg]
serious infection	1	"Infection, NOS"	C0009450	[dsyn]
serologic findings	1	findings	C2607943	[ftcn]
serology for hbv or hcv	1	HCV	C0220847	[virs]
serotonin-norepinephrine reuptake inhibitors	1	norepinephrine reuptake Inhibitors	C2757023	[moft]
serum -human chorionic gonadotropin (-hcg) test	1	test	C0392366	[inpr]
serum alanine aminotransferase (alt)	1	ALT	C1266129	[neop]
"serum b12, thyroid function tests"	1	Thyroid Function Tests	C0040130	[lbpr]
serum beta-hcg	1	serum beta hcg	C0741474	[lbpr]
serum bhcg pregnancy test	1	Serum pregnancy test NOS	C0430064	[lbpr]
serum chemistry laboratory value	1	Value	C1522609	[qnco]
serum chemistry panel	1	chemistry panel	C1254572	[lbpr]
serum glucose level	1	Serum glucose level	C0583332	[lbtr]
serum transaminase	1	Transaminase	C0002594	"[aapp, enzy]"
serum viscosity levels	1	Levels	C0441889	[qlco]
sgpt or sgot	1	unmapped	unmapped	unmapped
short-acting sleep medications	1	Medications	C2598133	[clna]
shunts	1	Shunt	C0542331	[medd]
sibutramine	1	SIBUTRAMINE	C0074493	"[orch, phsu]"
sick-sinus syndrome	1	Sick Sinus Syndrome	C1963235	[fndg]
side effects	1	side effects	C0001688	[ftcn]
siderosis	1	Siderosis	C0333596	[patf]
significant abnormality	1	Abnormality	C1704258	[fndg]
significant head trauma	1	HEAD TRAUMA	C0018674	[inpo]
signs and symptoms	1	symptoms	C0683368	[ftcn]
sildenafil	1	SILDENAFIL	C0529793	"[orch, phsu]"
silent lacuna	1	Lacuna	C1459585	[euka]
similar organic dyes	1	"Dye, organic"	C1288291	"[irda, orch]"
simple phobias and generalized anxiety disorder	1	Generalised anxiety disorder	C0270549	[mobd]
single functioning kidney	1	Functioning	C0205245	[ftcn]
single prior infarct	1	INFARCT	C0021308	[patf]
sinus arrhythmia	1	Sinus arrhythmia	C1959628	[fndg]
skin cancers	1	Skin Cancers	C0007114	[neop]
skin lesion/disorder	1	Disorder	C0012634	[dsyn]
skin melanoma	1	SKIN MELANOMA	C0151779	[neop]
skin tumors	1	SKIN TUMORS	C0037286	[neop]
sle	1	SLE NOS	C0024141	[dsyn]
sleep apnea	1	Sleep apnoea	C0037315	[dsyn]
sleep deprivation	1	Sleep Deprivation	C0037316	[fndg]
sleep disturbances	1	Sleep disturbances	C0037317	[sosy]
small meningiomas	1	MENINGIOMAS	C0025286	[neop]
smallinfarcts	1	unmapped	unmapped	unmapped
smmse	1	unmapped	unmapped	unmapped
smokers	1	smokers	C0337664	[fndg]
snri	1	SNRI	C3537213	[phsu]
sodium acetate trihydrate	1	Sodium Acetate Trihydrate	C0772446	"[orch, phsu]"
solid organ transplantation	1	Organ Transplantation	C0029216	[topp]
space occupying lesion	1	Space-occupying lesion	C0332562	[ftcn]
space occupying lesions	1	Space-occupying lesion	C0332562	[ftcn]
space-occupying brain lesions	1	Brain	C1269537	[bpoc]
spect scans	1	SPECT SCAN	C0040399	[diap]
spinal surgery	1	Spinal Surgery	C0185908	[topp]
spironolactone	1	SPIRONOLACTONE	C0037982	"[orch, phsu]"
"spontaneous, prolonged and severe bleeding of unclear origin"	1	origin	C0079946	[clas]
"spontaneous, prolonged or severe bleeding of unclear origin"	1	origin	C0079946	[clas]
squamous cell carcinoma of the skin	1	Skin	C0444099	[bdsu]
ssris	1	SSRIs	C0360105	[phsu]
st-elevation mi	1	MI	C3810814	[diap]
st. john's wart	1	Wart	C1547970	[inpr]
stablon	1	Stablon	C1529200	"[orch, phsu]"
standard blood chemistry profile	1	Chemistry profile	C0545265	[lbpr]
standard mmse-k	1	K'	C1708601	[qnco]
standard multivitamin supplement	1	Supplement	C2348609	[ftcn]
standard neuropsychological scores	1	Standard Score	C0871421	[qnco]
standard nia criteria	1	Criteria	C0243161	[inpr]
standard treatment	1	Treatment	C0087111	[topp]
standard-of-care medications	1	care medications	C0947323	[hlca]
standardised mini-mental state examination	1	Mini-mental state examination	C0451306	[diap]
statin medications	1	Medications	C2598133	[clna]
statin/fibrate therapy	1	Therapy	C0087111	[topp]
stent occlusion	1	stent occlusion	C0919560	[patf]
stenting procedure	1	Procedure	C2700391	[acty]
sterile	1	Sterile	C0021359	[patf]
stimulant medications	1	Medications	C2598133	[clna]
stimulants	1	STIMULANTS	C0304402	[phsu]
stimulators	1	Stimulators	C0175727	[medd]
striatal	1	Striatum	C0010097	[bpoc]
stricture	1	Stricture	C1261287	[patf]
structural cardiac defect	1	cardiac defect	C0741916	[dsyn]
structural neuroimaging	1	Neuroimaging	C0679575	[diap]
structural or developmental abnormality	1	DEVELOPMENTAL ABNORMALITY	C0000768	[cgab]
study agent	1	Study Agent	C1521826	[inpr]
study drug	1	study drug	C0013175	[resa]
study medications	1	Medications	C2598133	[clna]
study prohibitive medication	1	Medication	C0013227	[phsu]
study-distributed multi-vitamins	1	Multi vitamins	C0301532	"[orch, phsu, vita]"
subarachnoidal hemorrhage	1	HEMORRHAGE	C0019080	[patf]
subcortical ischemic disease	1	Disease	C0012634	[dsyn]
subcortical vci	1	subcortical	C0815275	[blor]
subdural haematoma	1	Subdural haematoma	C0018946	[patf]
subdural hematomas	1	Subdural Hematomas	C0018946	[patf]
subjective complaints	1	complaints	C0277786	[fndg]
subjective memory complaint	1	Complaint	C0277786	[fndg]
subjective memory or other cognitive complaints	1	complaints	C0277786	[fndg]
substance ( including alcohol ) related disorders	1	Alcohol related disorders	C0236664	[mobd]
substance dependence	1	Substance Dependence	C0038580	[mobd]
substance use disorder	1	SUBSTANCE USE DISORDER	C0038586	[mobd]
substance-induced persisting dementia	1	dementia	C0011265	[mobd]
succinylcholine	1	SUCCINYLCHOLINE	C0038627	"[orch, phsu]"
succinylcholine-type muscle relaxants	1	MUSCLE RELAXANTS	C0358430	[phsu]
suicidal behaviour	1	Suicidal behaviour	C1760428	[fndg]
suicidal intent	1	Suicidal intent	C0582496	[fndg]
suicidal tendency	1	SUICIDAL TENDENCY	C0235196	[fndg]
suicidality	1	Suicidality	C3166387	[clna]
sulfasalazine	1	Sulphasalazine	C0036078	"[orch, phsu]"
sulfonylurea	1	Sulphonylurea	C0038766	"[orch, phsu]"
sulfonylureas	1	SULFONYLUREAS	C0038766	"[orch, phsu]"
surgical procedures	1	Surgical Procedures	C0543467	[hlca]
surgical repair	1	Surgical repair	C0374711	[topp]
survival	1	Survival	C0038952	[acty]
sustained or paroxysmal arrhythmia	1	paroxysmal arrhythmia	C0919605	[patf]
swallowing difficulties	1	Swallowing difficulties	C0011168	[dsyn]
symptomatic	1	Symptomatic	C0231220	[ftcn]
symptomatic ad treatment	1	Treatment	C0087111	[topp]
symptomatic bifascicular block	1	BIFASCICULAR BLOCK	C0264914	[dsyn]
symptomatic cvd	1	"CVD, NOS"	C0007222	[dsyn]
symptomatic drugs	1	Drugs	C0013227	[phsu]
symptomatic treatment	1	Treatment	C0087111	[topp]
syndrome	1	Syndrome	C0039082	[dsyn]
syphilis antibody test	1	antibody test	C0580327	[lbpr]
systemic allergic disease	1	Allergic Disease	C0851444	[dsyn]
systemic and/or ocular diseases	1	Diseases	C0012634	[dsyn]
systemic cancer	1	Cancer	C0998265	[euka]
t helper cell	1	T helper cell	C0018894	[cell]
t- score	1	T-Score	C3854607	[qnco]
t.i.a	1	I-	C0021966	[inch]
t3	1	unmapped	unmapped	unmapped
t4	1	unmapped	unmapped	unmapped
tachycardia	1	TACHYCARDIA	C0039231	[patf]
tadalafil	1	TADALAFIL	C1176316	"[orch, phsu]"
tarcc	1	unmapped	unmapped	unmapped
tardive dyskinesia	1	TARDIVE DYSKINESIA	C0686347	[dsyn]
tattoos	1	Tattoos	C1366940	[fndg]
tb	1	unmapped	unmapped	unmapped
tbc	1	TBC	C3542023	[celc]
tca	1	TCA	C1415587	[gngm]
tea	1	Tea	C0039400	[food]
terminal cancer	1	terminal cancer	C0741884	[neop]
terminal illness	1	Terminal Illness	C0679247	[dsyn]
test drug hypersensitivity	1	Drug Hypersensitivity	C0013182	[dsyn]
testosterone	1	TESTOSTERONE	C0039601	"[horm, orch, phsu]"
tetracycline	1	tetracycline	C1744619	"[antb, orch]"
texas alzheimer's research and care consortium	1	Consortium	C1513822	[prog]
thalamic	1	Thalamic	C0039729	[bpoc]
the international statistical classification of diseases and related health problems 10th revision ( icd- 10 )	1	ICD-10	C1137110	[inpr]
theophyllin	1	THEOPHYLLINE	C0039771	"[bacs, orch, phsu]"
therapeutic response	1	Therapeutic response	C0521982	[clna]
thiamin deficiency	1	Thiamin deficiency	C0039841	[dsyn]
thiazide diuretics	1	"Diuretics, Thiazide"	C0012802	"[orch, phsu]"
thioridazine	1	THIORIDAZINE	C0039943	"[orch, phsu]"
thrombocytes	1	Thrombocytes	C0005821	[cell]
thromboembolic disease	1	Thromboembolic disease	C0040038	[patf]
thromboembolic events	1	Thromboembolic events	C0040038	[patf]
thrombophlebitis	1	THROMBOPHLEBITIS	C0040046	[dsyn]
thrombotic stroke	1	THROMBOTIC STROKE	C0242129	[dsyn]
thyroid function abnormalities	1	abnormalities	C0000769	[ftcn]
thyroid function test	1	Thyroid Function Test	C0040130	[lbpr]
thyroid function tests	1	Thyroid Function Tests	C0040130	[lbpr]
thyroid hormones	1	THYROID HORMONES	C0040135	"[aapp, horm]"
thyroid stimulating hormone [tsh]	1	Thyroid Stimulating Hormone	C1535531	"[aapp, horm, phsu]"
thyroid-stimulating hormone	1	Thyroid Stimulating Hormone	C2825077	[phsu]
"thyroid-stimulating hormone (tsh), vitamin b12 or folate serum levels"	1	folate serum level	C0242294	[lbtr]
tic disorder	1	Tic disorder	C2169806	[sosy]
timolol	1	TIMOLOL	C0040233	"[orch, phsu]"
tizanidine	1	TIZANIDINE	C0146011	"[orch, phsu]"
tobacco products	1	Tobacco Products	C0040329	"[hops, orch, phsu]"
"topical, ophthalmic or inhaled glucocorticoids"	1	GLUCOCORTICOIDS	C0017710	"[horm, orch]"
torsade de pointes	1	Torsade de pointes	C1963250	[fndg]
total and/or direct bilirubin	1	Direct bilirubin	C0236556	"[bacs, orch]"
total protein levels	1	Levels	C0441889	[qlco]
total radiation dose	1	Radiation dose	C2169144	[topp]
total recall	1	Recall	C2361119	[clna]
total serum protein	1	total serum protein	C1318415	[lbtr]
total wmh volume	1	Total Volume	C0449468	[qnco]
tourette's syndrome	1	Tourettes Syndrome	C0040517	[dsyn]
toxic epidermal necrolysis	1	"NECROLYSIS, TOXIC EPIDERMAL"	C0014518	[dsyn]
tramadol	1	TRAMADOL	C0040610	"[orch, phsu]"
transient ischaemic attack	1	Transient ischemic attack	C0917805	[dsyn]
transient ischemic attack ( tia )	1	Transient ischemic attack	C0917805	[dsyn]
transient ischemic attacks	1	Transient ischemic attacks	C0917805	[dsyn]
translocation ds mosaic form	1	Form	C0348078	[qlco]
traumatic brain injury with loss of consciousness	1	consciousness	C0009791	[fndg]
traumatic intracranial hemorrhage	1	Traumatic intracranial haemorrhage	C0273058	[inpo]
treatment for a psychotic disorder	1	Psychotic Disorder	C0033975	[mobd]
treatment psychotropic	1	Psychotropic	C0033978	[phsu]
treatment-resistant gastric	1	Gastric	C0038351	[bpoc]
tremblements	1	unmapped	unmapped	unmapped
tri cyclic antidepressives ( tca )	1	Antidepressive	C0003289	[phsu]
tricyclic and tetracyclic antidepressants	1	Tetracyclic Antidepressants	C0360108	"[orch, phsu]"
trifascicular block	1	Trifascicular block	C0155707	[dsyn]
triglycerides	1	TRIGLYCERIDES	C0041004	"[bacs, orch]"
tubal ligation	1	TUBAL LIGATION	C0520483	[topp]
tuberculosis ( tb )	1	TUBERCULOSIS	C0041296	[dsyn]
tuberculous	1	Tuberculous	C0041296	[dsyn]
tumors	1	Tumors	C0027651	[neop]
tumours	1	tumours	C0027651	[neop]
typ-1c-antiarrhyhtmics	1	TYP	C1414185	[gngm]
type 1 diabetes mellitus	1	"DIABETES MELLITUS, TYPE I"	C0011854	[dsyn]
type 1 or type 2 diabetes mellitus	1	"DIABETES MELLITUS, TYPE II"	C0011860	[dsyn]
type 2 diabetes	1	Type II Diabetes	C0011860	[dsyn]
type 2 diabetes mellitus	1	"DIABETES MELLITUS, TYPE II"	C0011860	[dsyn]
type i or type ii diabetes mellitus	1	"DIABETES MELLITUS, TYPE II"	C0011860	[dsyn]
type ii diabetes	1	Type II Diabetes	C0011860	[dsyn]
typical antipsychotics	1	Typical Antipsychotic	C2917392	[phsu]
ub 311	1	unmapped	unmapped	unmapped
ulcer disease	1	Ulcer disease	C0030920	[dsyn]
unclear media	1	Media	C0009458	[inpr]
unconscious state	1	Unconscious State	C0041657	[fndg]
underlying disease	1	Disease	C0012634	[dsyn]
undernutrition	1	Undernutrition	C0162429	[dsyn]
unifocal ventricular ectopic beats	1	Ventricular Ectopic Beats	C0151636	[patf]
unipolar type	1	TYPE	C0332307	[qlco]
untreated	1	untreated	C0332155	[fndg]
updrs iii	1	III	C0439070	[inpr]
"upper gi, hepatic or gallbladder disease"	1	Gall Bladder Disease	C0016977	[dsyn]
urinary obstruction	1	Urinary obstruction	C0178879	[dsyn]
urinary outflow obstruction	1	Urinary outflow obstruction	C0600039	"[anab, dsyn]"
urine beta-hcg	1	beta hcg	C0813152	[lbtr]
urine test	1	Urine test	C0042014	[lbpr]
urine tests	1	test	C0392366	[inpr]
urticaria	1	URTICARIA	C0042109	[dsyn]
v hydrocephalus	1	HYDROCEPHALUS	C0020255	[dsyn]
vad	1	VAD	C0077973	[topp]
valproat	1	unmapped	unmapped	unmapped
valproate	1	Valproate	C0080356	"[orch, phsu]"
valvular disease	1	Valvular disease	C3258293	[dsyn]
valvular heart disease	1	Valvular heart disease	C1963123	[fndg]
vamci	1	unmapped	unmapped	unmapped
vardenafil	1	VARDENAFIL	C0971579	"[orch, phsu]"
vascular clips	1	vascular clips	C0179992	[medd]
vascular cns-disorders	1	CNS disorders NOS	C0007682	[dsyn]
vascular dementia ( vad )	1	"Dementia, Vascular"	C0011269	[dsyn]
vascular dementia ( vd )	1	"Dementia, Vascular"	C0011269	[dsyn]
vascular ischemic neuropathies	1	Ischaemic neuropathy	C0238309	[dsyn]
vascular malformation	1	Vascular Malformation	C0158570	[anab]
vascular mild cognitive impairment ( vamci )	1	"Cognitive impairment, mild"	C1270972	[mobd]
vascular or lewy body or frontotemporal dementia	1	FRONTOTEMPORAL DEMENTIA	C0338451	[dsyn]
vasomotor symptoms	1	vasomotor symptom	C0750152	[sosy]
vasovagal collapse	1	Vasovagal collapse	C2242625	[patf]
vehicle	1	Vehicle	C0348005	[mnob]
venous access	1	venous access	C0750164	[medd]
ventricular and/or atrial arrhythmias	1	Atrial arrhythmias	C0085611	[patf]
"ventricular bigemini or couplets, triplets"	1	Triplets	C0041095	[famg]
ventriculostomy surgery	1	Surgery	C1274039	[bmod]
verapamil	1	VERAPAMIL	C0042523	"[orch, phsu]"
verbal aggression	1	Verbal aggression	C0424322	[fndg]
verbal fluency	1	verbal fluency	C0871945	[qlco]
vesp	1	unmapped	unmapped	unmapped
vision loss	1	VISION LOSS	C0456909	[fndg]
vision or hearing problems	1	hearing problems	C0438989	[fndg]
visual & auditory acuity	1	Auditory acuity	C0679027	[menp]
visual ability	1	Ability	C0085732	[orga]
visual and hearing impairment	1	HEARING IMPAIRMENT	C1384666	[fndg]
visual and/or auditory deficit	1	"Deficit, NOS"	C0162429	[dsyn]
visual or hearing difficulty	1	Hearing difficulty	C1313969	[fndg]
visuospatial/perceptual deficits	1	Visuospatial deficit	C2921138	[sosy]
vitamin a supplements	1	Vitamin A supplement	C3661611	[food]
vitamin b12 or folic acid deficiency	1	Folic Acid Deficiency	C0016412	[dsyn]
vitamin b12/ folic acid deficiency	1	Folic Acid Deficiency	C0016412	[dsyn]
vitamin deficiency states	1	states	C1301808	[geoa]
vitamin k agonist	1	Agonist	C2987634	[phsu]
vitamin k deficiency	1	VITAMIN K DEFICIENCY	C0042880	[dsyn]
vitamin supplements	1	Supplement	C2348609	[ftcn]
vitiligo	1	VITILIGO	C1847835	[dsyn]
vrf	1	VRF	C1421446	[gngm]
water	1	WATER	C0043047	"[inch, phsu]"
watercress	1	WATERCRESS	C0453151	[plnt]
wechsler logical memory i & ii	1	I NOS	C0221138	"[aapp, imft]"
wechsler memory scale-revised	1	Wechsler memory scale revised	C0589057	[inpr]
wellbutrin	1	Wellbutrin	C0085934	"[orch, phsu]"
wernicke's encephalopathy	1	"Encephalopathy, Wernicke"	C0043121	[dsyn]
white blood cell	1	White Blood Cell	C0023516	[cell]
white blood cell counts	1	White blood cell counts	C0427512	[lbtr]
white matter changes	1	White matter changes	C1833300	[fndg]
white matter deterioration	1	Deterioration	C0868945	[phpr]
white matter disease	1	White Matter Disease	C0270612	[dsyn]
white matter hyperintensity lesions	1	lesions	C0221198	[fndg]
white matter lacunes	1	lacunes	C0241970	[acab]
zolpidem	1	ZOLPIDEM	C0078839	"[orch, phsu]"
